RD,TDLinx,Store Name - Nielsen,Store Type,Street Name,Barangay,Municipality,Province,Region,Longitude,Latitude,Accuracy,Average Daily Sales: Sari Sari Store,Located? (Yes/No),cluster_label
Extreme Reach,7K016721,No Trade Name,Sari Sari Store,Quilantang brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1378533,6.091335,1.7,101 - 500,No,180
Extreme Reach,7K016745,GBR VEGETABLE & SARI SARI STORE,Sari Sari Store,Rovalgon brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1356333,6.092393333,1.7,"3,501 And Up",No,180
Extreme Reach,7K013701,JELOMAR STORE,Sari Sari Store,Carmenville,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1264533,6.084446667,1.2,"501 - 2,000",No,47
Extreme Reach,7K013606,No Trade Name,Sari Sari Store,Reformville yellow fin rd,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1279467,6.083495,1.6,"3,501 And Up",No,47
Extreme Reach,7K013600,LIMA BRA SARI SARI STORE,Sari Sari Store,Purok placida,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1258583,6.083808333,1.7,"2001 - 3,500",No,47
Extreme Reach,7K011488,No Trade Name,Sari Sari Store,purok san miguel,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1451783,6.07794,1.8,"501 - 2,000",No,190
Extreme Reach,7K016756,No Trade Name,Sari Sari Store,Purok Stella Maris brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.13667,6.068145,1.5,101 - 500,No,187
Extreme Reach,7K016747,ABBY 'S STORE,Sari Sari Store,Quilantang brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1387067,6.089075,1.6,101 - 500,No,181
Extreme Reach,7K016716,No Trade Name,Sari Sari Store,Quilantang brgy calumpang,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1380633,6.091025,1.5,101 - 500,No,180
Extreme Reach,7K011503,No Trade Name,Sari Sari Store,purok san miguel,"Calumpang,126303033",GENERAL SANTOS CITY (DADIANGAS),SOUTH COTABATO,9 S Mindanao,125.1462367,6.078318333,1.8,"501 - 2,000",No,191
