DistributorID,AgentID,CustNo,RouteDate,StopNo,Name,WD,SalesManTerritory,latitude,longitude,dayno,distancetonextstore
11814,SK-DP4,7K014888,2025-11-11,5,7K014888,2,SK-DP4,6.07545,125.12486,7,0.005
11814,SK-DP4,7K014728,2025-11-11,6,7K014728,2,SK-DP4,6.07549833,125.12485,7,0.142
11814,SK-DP4,7K014726,2025-11-11,7,7K014726,2,SK-DP4,6.07430333,125.12529,7,0.043
11814,SK-DP4,7K014885,2025-11-11,8,7K014885,2,SK-DP4,6.07437833,125.1256683,7,0.043
11814,SK-DP4,7K014725,2025-11-11,9,7K014725,2,SK-DP4,6.074515,125.1260283,7,0.045
11814,SK-DP4,7K014871,2025-11-11,10,7K014871,2,SK-DP4,6.07417667,125.1262583,7,0.036
11814,SK-DP4,7K014716,2025-11-11,11,7K014716,2,SK-DP4,6.07406167,125.1259533,7,0.071
11814,SK-DP4,7K014717,2025-11-11,12,7K014717,2,SK-DP4,6.07411167,125.1265917,7,0.09
11814,SK-DP4,7K014723,2025-11-11,13,7K014723,2,SK-DP4,6.0749,125.1264017,7,0.018
11814,SK-DP4,7K014883,2025-11-11,14,7K014883,2,SK-DP4,6.07491667,125.1262367,7,0.005
11814,SK-DP4,7K014724,2025-11-11,15,7K014724,2,SK-DP4,6.07488333,125.1262117,7,0.149
11814,SK-DP4,7K014715,2025-11-11,16,7K014715,2,SK-DP4,6.07391833,125.1252783,7,0.249
11814,SK-DP4,7K014718,2025-11-11,17,7K014718,2,SK-DP4,6.07402833,125.127525,7,0.035
11814,SK-DP4,7K014721,2025-11-11,18,7K014721,2,SK-DP4,6.07433833,125.1274917,7,0.044
11814,SK-DP4,7K014722,2025-11-11,19,7K014722,2,SK-DP4,6.07449667,125.1278567,7,0.048
11814,SK-DP4,7K014719,2025-11-11,20,7K014719,2,SK-DP4,6.07409333,125.12802,7,0.264
11814,SK-DP4,7K016057,2025-11-11,21,7K016057,2,SK-DP4,6.074225,125.1304067,7,0.034
11814,SK-DP4,7K015981,2025-11-11,22,7K015981,2,SK-DP4,6.07410667,125.1306867,7,0.101
11814,SK-DP4,7K015954,2025-11-11,23,7K015954,2,SK-DP4,6.074105,125.1316017,7,0.069
11814,SK-DP4,7K015951,2025-11-11,24,7K015951,2,SK-DP4,6.07471833,125.131665,7,0.009
11814,SK-DP4,7K015986,2025-11-11,25,7K015986,2,SK-DP4,6.074765,125.1317267,7,0.058
11814,SK-DP4,7K015952,2025-11-11,26,7K015952,2,SK-DP4,6.07452667,125.1321983,7,0.065
11814,SK-DP4,7K015953,2025-11-11,27,7K015953,2,SK-DP4,6.07473833,125.13275,7,0.047
11814,SK-DP4,7K015950,2025-11-11,28,7K015950,2,SK-DP4,6.07516333,125.13277,7,0.039
11814,SK-DP4,7K015916,2025-11-11,29,7K015916,2,SK-DP4,6.075145,125.1324183,7,0.085
11814,SK-DP4,7K015984,2025-11-11,30,7K015984,2,SK-DP4,6.07533667,125.131675,7,0.051
11814,SK-DP4,7K015915,2025-11-11,31,7K015915,2,SK-DP4,6.07579167,125.1316467,7,0.006
11814,SK-DP4,7K015982,2025-11-11,32,7K015982,2,SK-DP4,6.07582667,125.1316867,7,0.024
11814,SK-DP4,7K015914,2025-11-11,33,7K015914,2,SK-DP4,6.07604,125.1317033,7,0.045
11814,SK-DP4,7K015979,2025-11-11,34,7K015979,2,SK-DP4,6.07644667,125.131675,7,0.132
11814,SK-DP4,7K015968,2025-11-11,35,7K015968,2,SK-DP4,6.077635,125.13171,7,0.068
11814,SK-DP4,7K015913,2025-11-11,36,7K015913,2,SK-DP4,6.07787667,125.1322733,7,0.195
11814,SK-DP4,7K014133,2025-11-11,37,7K014133,2,SK-DP4,6.07963167,125.1321767,7,0.119
11814,SK-DP4,7K014132,2025-11-11,38,7K014132,2,SK-DP4,6.08069167,125.132025,7,0.074
11814,SK-DP4,7K014353,2025-11-11,39,7K014353,2,SK-DP4,6.08135667,125.131955,7,0.047
11814,SK-DP4,7K014131,2025-11-11,40,7K014131,2,SK-DP4,6.08174667,125.1317983,7,0.083
11814,SK-DP4,7K014352,2025-11-11,41,7K014352,2,SK-DP4,6.08242,125.1321317,7,0.471
11814,SK-DP4,7K013604,2025-11-11,42,7K013604,2,SK-DP4,6.081835,125.1279133,7,0.006
11814,SK-DP4,7K013682,2025-11-11,43,7K013682,2,SK-DP4,6.08181,125.1278617,7,0.816
11814,SK-DP4,7K014134,2025-11-11,44,7K014134,2,SK-DP4,6.07880167,125.1345967,7,0.158
11814,SK-DP4,7K014135,2025-11-11,45,7K014135,2,SK-DP4,6.07870167,125.1360217,7,0.192
11814,SK-DP4,7K012885,2025-11-11,46,7K012885,2,SK-DP4,6.07873833,125.137755,7,0.096
11814,SK-DP4,7K012886,2025-11-11,47,7K012886,2,SK-DP4,6.07787667,125.1377683,7,0.04
11814,SK-DP4,7K012716,2025-11-11,48,7K012716,2,SK-DP4,6.07756167,125.1379467,7,0.009
11814,SK-DP4,7K012887,2025-11-11,49,7K012887,2,SK-DP4,6.07751333,125.1378833,7,0.052
